RedScout1Kills,RedScout1Assists,RedScout1Deaths,RedScout1Damage,RedScout2Kills,RedScout2Assists,RedScout2Deaths,RedScout2Damage,BlueScout1Kills,BlueScout1Assists,BlueScout1Deaths,BlueScout1Damage,BlueScout2Kills,BlueScout2Assists,BlueScout2Deaths,BlueScout2Damage,RedSoldier1Kills,RedSoldier1Assists,RedSoldier1Deaths,RedSoldier1Damage,RedSoldier2Kills,RedSoldier2Assists,RedSoldier2Deaths,RedSoldier2Damage,BlueSoldier1Kills,BlueSoldier1Assists,BlueSoldier1Deaths,BlueSoldier1Damage,BlueSoldier2Kills,BlueSoldier2Assists,BlueSoldier2Deaths,BlueSoldier2Damage,RedDemo1Kills,RedDemo1Assists,RedDemo1Deaths,RedDemo1Damage,BlueDemo1Kills,BlueDemo1Assists,BlueDemo1Deaths,BlueDemo1Damage,RedMedic1Assists,RedMedic1Deaths,RedMedic1Ubers,RedMedic1Heals,BlueMedic1Assists,BlueMedic1Deaths,BlueMedic1Ubers,BlueMedic1Heals
8,4,16,5398,7,3,16,4192,17,4,10,8386,12,8,12,7292,10,2,14,7824,10,3,16,6666,23,9,3,11100,14,10,7,8524,8,0,12,7380,18,3,8,9328,10,10,6,0,10706,15,3,9,0,11662,5
15,7,14,4477,14,7,20,3415,23,6,19,5889,14,11,14,4189,25,7,20,9789,24,4,17,7174,20,13,19,6843,15,11,17,6726,22,5,22,9559,29,4,19,10857,22,10,11,1,10601,12,13,10,2,8676,2
11,8,17,3682,9,2,24,3632,22,8,12,4158,13,9,19,3755,31,12,16,11314,19,3,26,8333,27,3,26,8234,24,8,17,7779,23,5,27,8390,5,0,2,907,22,12,15,1,8317,18,11,15,0,10483,3
22,9,16,5196,18,10,11,4927,11,4,18,3741,9,6,14,3605,20,5,12,5275,15,8,14,5114,13,0,17,3744,12,2,14,3444,14,2,6,7348,19,4,13,6216,11,10,8,0,6125,8,12,6,0,5939,5
40,17,16,10020,5,2,18,1564,20,5,15,5399,11,9,25,3081,43,13,15,12621,15,13,21,6471,27,8,23,8296,15,2,12,4143,20,5,20,7388,26,9,19,10670,19,18,8,3,10984,25,14,11,0,10901,2
16,7,24,4948,13,10,20,4582,23,4,26,6755,16,16,11,5757,16,5,19,7471,16,11,22,7401,25,6,25,9201,26,10,14,9117,41,5,17,13852,20,5,22,9294,24,7,16,0,11324,9,7,16,0,10704,0
48,8,17,10909,12,11,22,3417,19,6,30,5431,21,6,15,4332,32,12,24,10545,33,13,19,9151,31,8,26,11615,9,3,21,4965,23,11,16,10432,36,7,27,11588,22,17,9,1,8960,18,19,6,1,8762,4
25,11,24,7095,18,1,17,4445,0,0,2,84,14,8,12,3744,24,10,20,5982,12,7,23,4786,21,3,14,6792,27,5,19,6720,22,7,17,10150,27,8,16,9031,15,16,10,0,8643,21,14,11,2,8467,3
15,4,16,4571,10,8,16,3114,14,5,22,4548,12,7,25,3553,34,1,15,11003,26,6,20,8608,20,9,15,7607,13,2,18,4409,17,5,11,5991,38,4,15,12554,24,14,17,0,8085,25,12,15,2,8503,0
15,12,15,4841,19,5,27,4193,18,3,21,5004,16,3,20,4016,32,10,20,8656,24,6,24,6566,34,7,24,10776,21,3,19,6440,31,5,18,12153,25,4,22,9196,21,15,11,2,9770,19,14,13,0,8859,0
